Equipment state (expert assessment),Substation name,Dispatcher name,Transformer,Winding arrangement & Switching devices,Oil year,Breakdown voltage. kV,Moisture content. g/t,Acid number. mgKOH/g,Oil tangent at 90С. %,Flash point in closed cup. С,Н2. % vol.,СН4. % vol.,С2Н4. % vol.,С2Н6. % vol.,С2Н2. % vol.,СО2. % vol.,СО. % vol.,Winding year,Winding temperature during  last tests. C,R60 insulation resistance of HV winding. measured during commissioning tests. Mohm,R60 insulation resistance of HV winding. measured during last tests. MOhm,Tangent of HV winding insulation. measured during last tests. %,R60 insulation resistance of MV (LV1) winding. measured during commissioning tests. MOhm,Tangent of MV (LV1) winding insulation. measured during commissioning tests. %,R60 insulation resistance of MV (LV1) winding. measured during last tests. MOhm,Tangent of MV (LV1) winding insulation. measured during last tests. %,R60 insulation resistance of LV (LV2) winding. measured during commissioning tests. MOhm,Tangent of MV (LV2) winding insulation. measured during commissioning tests. %,R60 insulation resistance of LV (LV2) winding. measured during last tests. MOhm,Tangent of MV (LV2) winding insulation. measured during last tests. %,On-load tap-changer year,Breakdown voltage of oil from the tank. kV
satisfactory,Rakhmanovka,Т-1,TDTN-10000/110-U1,3.00,1992.0,67.2,11.0,0.01,0.02,142.00,0.000284,4.1e-05,0.000268,0.000018,0.00,0.1,0.01,1992.0,20.0,-1.00,6000.00,0.22,-1.00,-1.0,4250.00,0.24,-1.00,-1.0,5000.00,0.26,1992.0,-1.0
good,Peterka-1,Т-1,TDTN-16000/110,3.00,1991.0,64.0,-1.0,0.75,0.00,143.00,0.000274,0.000205,0.000756,0.000066,0.00,0.16,0.02,1991.0,50.0,-1.00,500.00,0.81,-1.00,-1.0,2000.00,0.51,-1.00,-1.0,1800.00,0.57,1991.0,64.7
good,Semyonovka,Т-2,TDTN-16000/110,3.00,1982.0,64.8,-1.0,0.24,0.06,140.00,0.000359,0.0005099999999999999,0.001724,0.000038,0.00,0.19,0.02,1982.0,40.0,-1.00,2700.00,0.2,-1.00,-1.0,2000.00,0.23,-1.00,-1.0,3000.00,0.30,1982.0,32.8
good,Karaman,Т-2,TDTN-10000/110,3.00,1982.0,68.7,-1.0,0.53,0.00,141.00,0.00058,4.1e-05,0.000134,0.000044,0.00,0.1,0.01,1982.0,30.0,-1.00,7500.00,0.2,-1.00,-1.0,10000.00,0.2,-1.00,-1.0,10000.00,0.20,1982.0,69.7
good,Pobeda,Т-2,TDTN-16000/110,3.00,1979.0,54.3,-1.0,0.77,0.01,145.00,0.000377,2.5e-05,0.000892,0.00001,0.00,0.08,0.01,1979.0,39.0,-1.00,3800.00,0.19,-1.00,-1.0,3200.00,0.18,-1.00,-1.0,3300.00,0.23,1979.0,50.0
good,Rossiia,Т-2,TDTN-16000/110,3.00,1979.0,68.8,-1.0,43739.00,0.07,145.00,0.000513,0.000152,0.003375,0.000085,0.00,0.18,0.03,1979.0,35.0,-1.00,300.00,0.51,-1.00,-1.0,2200.00,0.49,-1.00,-1.0,300.00,0.54,1979.0,52.6
good,KrasnyiKut,Т-2,TDTNG-20000/110,3.00,1985.0,56.8,-1.0,43647.00,0.02,147.00,0.000425,4.4e-05,0.001225,0.000032,0.00,0.12,0.02,1985.0,49.0,-1.00,800.00,0.24,-1.00,-1.0,500.00,0.27,-1.00,-1.0,600.00,0.29,1985.0,50.0
satisfactory,Znamenskaia,С-2-Т,TMTN-6300/110,3.00,1977.0,59.0,-1.0,1.90,0.02,141.00,0.00,0.00016,0.00058,0.00,0.00,0.12,0.0,1977.0,25.0,3000.00,3000.00,0.2,3000.00,0.3,3000.00,0.2,3000.00,0.4,3000.00,0.20,1977.0,49.0
satisfactory,Titovo,С-1-Т,TMTN-6300/110,3.00,1982.0,58.6,-1.0,43740.00,0.02,141.00,0.00,0.00013000000000000002,0.00022,0.00,0.00,0.09,0.0,1982.0,26.0,1500.00,10000.00,0.26,1600.00,0.26,10000.00,0.3,1700.00,0.36,10000.00,0.27,1982.0,61.0
unsatisfactory,Terbuny110/35/10,Т-1,TDTN,3.00,-1.0,72.0,24.0,0.56,0.001,-1.00,0.00,0.00022,0.0017,0.00017,0.00,0.14,0.0099,-1.0,20.0,800.00,20000.00,0.185,1200.00,0.24,14000.00,0.225,1500.00,0.34,11000.00,0.26,-1.0,62.0
unsatisfactory,Terbuny110/35/10,Т-2,TDTN,3.00,-1.0,70.0,27.0,0.72,0.02,-1.00,0.00,0.00011999999999999999,0.0018,0.00001,0.00,0.2,0.013000000000000001,-1.0,20.0,1000.00,2500.00,0.249,1000.00,0.2,2000.00,0.324,1500.00,0.2,2200.00,0.371,-1.0,58.0
good,Volovo110/35/10,Т-1,TDTN,3.00,-1.0,71.0,21.0,0.23,0.023,-1.00,0.00,0.00015,0.00044,0.00001,0.00,0.05,0.006,-1.0,20.0,3000.00,6100.00,0.09,2600.00,0.15,5900.00,0.11,2600.00,0.174,5800.00,0.11,-1.0,46.7
satisfactory,Volovo110/35/10,Т-2,TDTN,3.00,-1.0,54.5,23.0,0.59,0.007,-1.00,0.00,0.00011,0.00006,0.00001,0.00,0.047,0.005,-1.0,13.0,700.00,3600.00,0.35,800.00,0.1,4000.00,0.35,780.00,0.11,4200.00,0.21,-1.0,44.5
unsatisfactory,Donskaia110/35/10,Т-1,TDTN,3.00,-1.0,71.2,22.0,5.36,0.036,-1.00,0.00,0.00018,0.0029,0.00013,0.00,0.23,0.0071,-1.0,20.0,2900.00,1023.00,0.18,3000.00,0.2,1136.00,0.22,3000.00,0.25,1136.00,0.185,-1.0,44.0
unsatisfactory,Donskaia110/35/10,Т-2,TDTN,3.00,-1.0,54.0,26.0,43653.00,0.063,-1.00,0.00,0.00027,0.0016,0.00025,0.00,0.22,0.013999999999999999,-1.0,15.0,4000.00,780.00,0.28600000000000003,2500.00,0.31,710.00,0.34,2200.00,0.295,750.00,0.256,-1.0,54.0
satisfactory,Dolgorukovo110/35/10,Т-1,TMT,3.00,-1.0,78.0,19.0,1.31,0.044,-1.00,0.00,0.00014,0.0007,0.00011,0.00,0.11,0.006999999999999999,-1.0,20.0,1700.00,8000.00,0.29100000000000004,1400.00,0.37,5000.00,0.37,1000.00,0.36,5000.00,0.387,-1.0,54.0
satisfactory,Dolgorukovo110/35/10,Т-2,TDTN,3.00,-1.0,78.0,25.0,0.26,0.035,-1.00,0.00,0.00011,0.00096,0.00005,0.00,0.16,0.006,-1.0,14.0,1770.00,8200.00,0.195,2100.00,0.4,8800.00,0.2,2500.00,0.4,12000.00,0.2,-1.0,63.0
unsatisfactory,Gorohovskaia110/35/10,Т-1,TDTN,3.00,-1.0,73.0,27.0,2.54,0.05,-1.00,0.00,0.00018999999999999998,0.0021,0.0001,0.00,0.17,0.021,-1.0,29.0,1200.00,800.00,0.257,1300.00,0.2,500.00,0.3,1400.00,0.2,500.00,0.356,-1.0,44.0
unsatisfactory,Gorohovskaia110/35/10,Т-2,TDTN,3.00,-1.0,67.8,24.0,0.57,0.01,-1.00,0.00,0.00013000000000000002,0.0016,0.00013,0.00,0.078,0.009000000000000001,-1.0,14.0,1900.00,26000.00,0.263,1800.00,0.2,17000.00,0.297,1800.00,0.23,16000.00,0.307,-1.0,46.0
unsatisfactory,Izmalkovo110/35/10,Т-1,TDTN,3.00,-1.0,76.0,15.0,0.23,0.026,-1.00,0.00,0.00013000000000000002,0.0007,0.00001,0.00,0.15,0.0088,-1.0,20.0,2000.00,7800.00,0.179,1600.00,0.1,5600.00,0.316,1900.00,0.1,9200.00,0.271,-1.0,64.2
good,Izmalkovo110/35/10,Т-2,TDTN,3.00,-1.0,64.0,15.0,0.16,0.001,-1.00,0.00,0.00,0.00013,0.00005,0.00,0.075,0.0073,-1.0,17.0,1600.00,24800.00,0.19399999999999998,1600.00,0.2,21900.00,0.192,1800.00,0.28,22000.00,0.17,-1.0,59.5
satisfactory,Naberezhnoe110/35/10,Т-1,TMT,3.00,-1.0,71.0,18.0,1.28,0.057,-1.00,0.00,0.00011,0.0028,0.00001,0.00,0.23,0.0067,-1.0,30.0,2500.00,3500.00,0.37,1600.00,0.3,2200.00,0.47,1900.00,0.4,2200.00,0.39,-1.0,46.0
satisfactory,Naberezhnoe110/35/10,Т-2,TDTN,3.00,-1.0,54.0,16.0,0.23,0.006,-1.00,0.00,0.00014,0.00067,0.00004,0.00,0.13,0.004,-1.0,12.0,1600.00,35500.00,0.18,1600.00,0.395,50300.00,0.21,1800.00,0.26,23700.00,0.24,-1.0,81.6
unsatisfactory,110/35/10Novopolevo,Т-1,TDTN-16000/110-U1,3.00,-1.0,74.0,11.0,43497.00,0.007,-1.00,0.00,0.00022,0.00051,0.000011,0.000116,0.136,0.001,-1.0,40.0,1000.00,1300.00,0.25,1000.00,0.2,1300.00,0.22,1000.00,0.2,1300.00,0.22,-1.0,0.0
good,110/35/10Maloarhangelskaia,Т-1,TDTN-10000/110-76U1,3.00,-1.0,72.0,16.0,43647.00,0.024,-1.00,0.00,0.00018999999999999998,0.0021,0.000042,0.0002,0.149,0.015,-1.0,45.0,1500.00,1000.00,0.1,1500.00,0.19,1800.00,0.1,1500.00,0.19,1500.00,0.1,-1.0,0.0
unsatisfactory,110/35/10Kulikovskaia,Т-1,TDTN-10000/110-76U1,3.00,-1.0,78.0,8.0,43527.00,0.01,-1.00,0.00,0.00013000000000000002,0.00074,0.000009,0.000026,0.14400000000000002,0.0019,-1.0,45.0,800.00,1500.00,0.25,1000.00,0.4,1500.00,0.25,1500.00,0.25,1500.00,0.2,-1.0,0.0
unsatisfactory,110/35/10Naryshkino,Т-2,TDTN-10000/110-76U1,3.00,-1.0,71.0,10.0,43710.00,0.019,-1.00,0.00,0.00032,0.0022,0.000008,0.00069,0.248,0.019,-1.0,30.0,3000.00,900.00,0.2,3000.00,-1.0,900.00,0.2,3000.00,-1.0,900.00,0.3,-1.0,0.0
unsatisfactory,110/35/10Kolpny,Т-1,TDTN-16000/110-U1,3.00,-1.0,40.0,12.0,43617.00,0.018,-1.00,0.00,0.0002,0.0016,0.00001,0.00,0.1655,0.0047,-1.0,20.0,1400.00,1000.00,0.18,1400.00,0.34,1000.00,0.28,1500.00,0.44,3000.00,0.25,-1.0,37.3
unsatisfactory,110/35/10Kolpny,Т-2,TDTN-10000/110-U1,3.00,-1.0,62.0,9.0,43647.00,0.033,-1.00,0.00,0.00015,0.001,0.000004,0.000013,0.133,0.001,-1.0,20.0,750.00,750.00,0.2,1000.00,0.53,1000.00,0.52,1000.00,0.52,1000.00,0.3,-1.0,43553.00
unsatisfactory,110/35/10Dolgoe,Т-1,TDTN-16000/110-66U1,3.00,-1.0,42.0,43654.00,43618.00,0.025,-1.00,0.00,0.0001,0.0005,0.00,0.00001,0.10099999999999999,0.0276,-1.0,20.0,1400.00,1000.00,0.18,1400.00,0.34,1000.00,0.21,1500.00,0.43,3000.00,0.2,-1.0,44.0
unsatisfactory,110/35/10Dolgoe,Т-2,TDTN-10000/110U1,3.00,-1.0,51.0,11.0,43468.00,0.018,-1.00,0.00,0.0002,0.0009,0.00,0.00,0.1776,0.0047,-1.0,20.0,750.00,700.00,0.25,1000.00,0.53,1300.00,0.3,1000.00,0.51,1300.00,0.28,-1.0,59.0
satisfactory,110/35/10Novosergievka,Т-2,TDTN-10000/110,3.00,-1.0,51.4,43504.00,43625.00,0.037,-1.00,0.0008,0.00014,0.00062,0.000029,0.000048,0.0568,0.00671,-1.0,25.0,3000.00,3000.00,0.3,3000.00,0.1,3000.00,0.25,3000.00,0.2,1500.00,0.35,-1.0,51.2
unserviceable,110/35/10Bolhov,Т-1,TDTN-10000/110,3.00,-1.0,51.4,43510.00,43475.00,0.08,-1.00,0.00,0.00,0.00005,0.00,0.00,0.302,0.001,-1.0,10.0,1000.00,800.00,0.55,2500.00,0.23,800.00,0.36,3000.00,0.13,800.00,0.3,-1.0,51.0
unsatisfactory,110/35/10Bolhov,Т-2,TDTN-10000/110,3.00,-1.0,51.0,12.0,43508.00,0.042,-1.00,0.00,0.00047000000000000004,0.005,0.00008,0.00,0.48100000000000004,0.0485,-1.0,30.0,800.00,600.00,0.4,1200.00,0.1,600.00,0.6,1200.00,0.1,600.00,1.00,-1.0,51.0
unsatisfactory,110/35/10Kommash,Т-2,TDTN-16000/110,3.00,-1.0,51.2,16.0,43533.00,0.05,-1.00,0.00,0.00025,0.00538,0.000058,0.00,0.27399999999999997,0.264,-1.0,20.0,500.00,1300.00,0.6,900.00,0.54,1300.00,43678.00,1000.00,0.5,1300.00,1.00,-1.0,51.4
satisfactory,Prechistoe,Т-1,TDTN-10000/110,3.00,-1.0,66.3,-248728.00,0.6,0.014,-1.00,0.00,2.9999999999999997e-05,0.00012,0.00,0.00001,0.06394,0.00385,-1.0,35.0,4300.00,27700.00,0.11,3100.00,0.15,13000.00,0.1,3800.00,0.27,13000.00,0.1,-1.0,54.0
unserviceable,Prechistoe,Т-2,TDTN-10000/110,3.00,-1.0,70.0,1.0716700000000001,0.9,0.018,-1.00,0.00,0.00,0.00026,0.00007,0.00052,0.11790999999999999,0.00717,-1.0,29.0,3000.00,24000.00,0.2,2500.00,0.1,12000.00,0.12,3000.00,0.1,10400.00,0.12,-1.0,40.0
unsatisfactory,Abbakumtcevo,Т-1,TDTN-10000/110,3.00,-1.0,68.3,1667731.00,0.4,0.014,-1.00,0.00,2.9999999999999997e-05,0.00,0.00,0.00001,0.08315,0.00492,-1.0,20.0,3270.00,20200.00,0.198,3900.00,0.13,18900.00,0.185,3420.00,0.2,25600.00,0.2,-1.0,67.3
unsatisfactory,Abbakumtcevo,Т-2,TDTN-10000/110,3.00,-1.0,66.0,2073118.00,0.6,0.02,-1.00,0.0004,0.00,0.00011,0.00001,0.00003,0.1394,0.0085,-1.0,20.0,3330.00,29000.00,0.161,7640.00,0.1,17000.00,0.162,7260.00,0.2,16000.00,0.191,-1.0,52.3
satisfactory,Pereslavl,Т-1,TDTN-25000/110/35/6,3.00,-1.0,-1.0,43467.00,0.01,0.01,-1.00,0.00,0.00,0.00008,0.00,0.00,0.01,0.00126,-1.0,20.0,66.00,18070.00,0.25,1000.00,0.4,15500.00,0.26,550.00,0.4,12800.00,0.32,-1.0,34.3
satisfactory,Pereslavl,Т-2,TDTN-25000/110/35/6,3.00,-1.0,-1.0,43527.00,0.2,0.01,-1.00,0.00,0.00,0.00002,0.00002,0.00,0.01678,0.00098,-1.0,24.0,4733.00,125000.00,0.21,3386.00,0.24,10360.00,0.25,2636.00,0.35,85300.00,0.29,-1.0,64.5
satisfactory,Lom,Т-1,TDTN-10000/110/35/10,3.00,-1.0,67.2,7.0,0.56,0.018,-1.00,0.00,0.0005,0.0003,0.0001,0.00,0.038,0.0139,-1.0,26.0,4500.00,4000.00,0.17,3000.00,0.1,3000.00,0.18,3500.00,0.13,4000.00,0.18,-1.0,62.8
satisfactory,Lom,Т-2,TDTN-10000/110/35/10,3.00,-1.0,66.8,6.0,0.92,0.018,-1.00,0.00,0.0001,0.0003,0.0001,0.0001,0.0014,0.0211,-1.0,24.0,4600.00,13000.00,0.15,5800.00,0.1,12000.00,0.24,5700.00,0.2,12000.00,0.29,-1.0,68.0
satisfactory,Levoberezhnaia,Т-1,TDTN-16000/110/35/6,3.00,-1.0,53.2,8.0,43525.00,0.048,-1.00,0.0064,0.0037,0.0004,0.002,0.0008,0.1157,0.0216,-1.0,36.5,8500.00,2200.00,0.175,7250.00,0.19,2450.00,0.15,7000.00,0.2,2250.00,0.1,-1.0,62.4
satisfactory,Levoberezhnaia,Т-2,TDTN-16000/110/35/6,3.00,-1.0,69.2,6.0,1.26,0.022,-1.00,0.0043,0.004,0.0031,0.0002,0.0005,0.0856,0.0194,-1.0,35.0,12000.00,5500.00,0.1,20000.00,0.22,55000.00,0.12,20000.00,0.2,55000.00,0.104,-1.0,51.2
good,Vostochnaia,Т-2,TDTN-25000/110/35/6,3.00,-1.0,81.6,3.0,1.54,0.015,-1.00,0.0005,0.0001,0.0007,0.0001,0.0009,0.0007,0.0001,-1.0,36.5,8000.00,50000.00,0.1,4000.00,0.15,60000.00,0.11,6500.00,0.28,60000.00,0.19,-1.0,81.6
satisfactory,Zalese,Т-2,TDTN-10000/110/35/10,3.00,-1.0,82.8,12.0,0.2,0.022,-1.00,0.00,0.0009,0.0013,0.0011,0.0009,0.0037,0.0005,-1.0,26.0,2400.00,18750.00,0.16,2000.00,0.14,18750.00,0.13,8000.00,0.19,25000.00,0.2,-1.0,59.6
good,MEZ,Т-1-25000,TDTN-25000/110/35/6,3.00,-1.0,80.1,-1.0,0.5,0.008,-1.00,0.00142,0.00018,0.00009,0.00015,0.00014,0.18600000000000003,0.0006799999999999999,-1.0,33.0,4960.00,10000.00,0.35,5300.00,0.59,10000.00,0.42,5800.00,0.67,10000.00,0.57,-1.0,66.6
satisfactory,Kamenka,Т-2-16000,TDTN-16000/110/35/10,3.00,-1.0,62.8,-1.0,0.7,0.006,-1.00,0.00133,0.00,0.00014,0.0011,0.00003,0.002,0.00081,-1.0,30.0,3500.00,4170.00,0.2,3000.00,0.25,3150.00,0.23,3000.00,0.26,3670.00,0.23,-1.0,55.2
good,Podgornoeraionnaia,Т-2-16000,TDTN-16000/110/35/10,3.00,-1.0,62.2,-1.0,0.43,0.0078,-1.00,0.0074,0.0009,0.0002,0.0001,0.0001,0.0976,0.0296,-1.0,14.0,1000.00,6000.00,0.1,560.00,0.26,6000.00,0.1,560.00,0.36,6000.00,0.15,-1.0,60.2
unsatisfactory,Ostrogozhsk,Т-2-40500,TDTNG-40500/110/35/6,3.00,-1.0,67.0,-1.0,43586.00,0.18,-1.00,0.0001,0.00035,0.0001,0.00009,0.00002,0.001,0.0057399999999999994,-1.0,5.0,500.00,1340.00,0.46,550.00,0.24,1730.00,0.46,590.00,0.2,960.00,0.51,-1.0,66.6
good,Kamenka110/35/10kV,Т-1,TDTN-10000/110,3.00,-1.0,71.0,-1.0,0.08,0.01,-1.00,-1.00,0.0002,0.0001,-1.00,0.0002,0.16,0.07,-1.0,22.0,5000.00,10000.00,0.17,4500.00,0.18,10000.00,0.18,4200.00,0.25,10000.00,0.19,-1.0,82.0
satisfactory,Kamenka110/35/10kV,Т-2,TDTN-10000/110,3.00,-1.0,83.0,-1.0,0.075,0.01,-1.00,-1.00,0.0006,0.004,0.0001,0.005,0.13,-1.0,-1.0,18.0,570.00,6000.00,0.21,770.00,0.46,5000.00,0.24,800.00,0.62,4500.00,0.32,-1.0,73.0
good,Arhangelskoe110/35/10kV,Т-1,TDTN-10000/110,3.00,-1.0,82.0,29.0,0.6,0.01,-1.00,-1.00,0.00035,0.0016,-1.00,0.001,0.18,-1.0,-1.0,29.0,1000.00,5500.00,0.3,1100.00,0.2,4000.00,0.2,1000.00,0.3,5000.00,0.2,-1.0,79.0
good,Arhangelskoe110/35/10kV,Т-2,TDTN-10000/110,3.00,-1.0,78.0,22.0,0.1,0.003,-1.00,-1.00,0.0002,0.00014,-1.00,0.0001,0.11,-1.0,-1.0,24.0,1010.00,10000.00,0.3,1500.00,0.31,10000.00,0.2,1350.00,0.40700000000000003,10000.00,0.2,-1.0,71.0
good,Shchuche110/35/10kV,Т-1,TMTN-6300/110,3.00,-1.0,50.0,19.0,0.15,0.005,-1.00,-1.00,0.00014,0.00014,-1.00,0.0001,0.06,-1.0,-1.0,30.0,2700.00,10000.00,0.23,2400.00,0.3,10000.00,0.25,2100.00,0.3,10000.00,0.24,-1.0,50.0
satisfactory,Shchuche110/35/10kV,Т-2,TMT-6300/110,3.00,-1.0,50.0,43729.00,1.00,0.02,-1.00,-1.00,0.00016,0.0007,-1.00,-1.00,0.11,-1.0,-1.0,15.0,1250.00,4000.00,0.32,1400.00,0.3,3500.00,0.38,1200.00,0.3,2000.00,0.43,-1.0,64.0
good,Karernaia,Т-1,TDTN-16000,3.00,-1.0,71.0,0.0012,0.2,0.032,-1.00,-1.00,0.00022999999999999998,0.00022,-1.00,0.00033,0.12,0.0077,-1.0,-1.0,800.00,1500.00,0.75,800.00,0.5,1500.00,0.75,600.00,0.5,1000.00,0.8,-1.0,52.0
satisfactory,Gornaia,Т-1,TDTN-25000,3.00,-1.0,73.0,19.0,0.5,0.01,-1.00,0.000246,0.0,0.0013,0.00,0.000273,0.1408,0.00589,-1.0,-1.0,1200.00,1500.00,0.5,800.00,0.2,1500.00,0.6,1000.00,0.23,1500.00,0.7,-1.0,43.0
satisfactory,Gornaia,Т-2,TDTN-25000,3.00,-1.0,81.0,13.0,0.53,0.02,-1.00,0.000291,0.0,0.0018,0.00,0.000335,0.1319,0.0055899999999999995,-1.0,-1.0,1500.00,1500.00,0.8,1000.00,0.37,1500.00,0.8,1000.00,0.55,1500.00,0.9,-1.0,58.0
satisfactory,Dorogobuzh-1,Т-1,TDTN-16000,3.00,-1.0,40.0,25.0,0.7,0.01,-1.00,0.000169,0.0,0.000427,0.00,0.00,0.07907,0.0035210000000000003,-1.0,-1.0,3000.00,1500.00,0.6,3000.00,0.33,1500.00,0.5,1500.00,0.33,1500.00,0.5,-1.0,53.0
satisfactory,Roslavl,Т-1,TDTN-40000,3.00,-1.0,75.0,43658.00,0.35,0.03,-1.00,-1.00,-1.0,0.00145,-1.00,-1.00,0.16108,0.01068,-1.0,22.0,3536.00,5800.00,0.12,2516.00,0.13,2900.00,0.17,3224.00,0.17,3600.00,0.17,-1.0,80.0
unsatisfactory,Roslavl,Т-2,TDTN-25000,3.00,-1.0,63.0,43567.00,43466.00,0.04,-1.00,-1.00,-1.0,0.00037,-1.00,-1.00,0.27386,0.01225,-1.0,10.0,700.00,2000.00,0.85,800.00,0.2,1800.00,0.6,900.00,0.2,1800.00,0.8,-1.0,71.0
satisfactory,110kVMonastyrshchina,Т-1,TDTN-10000,3.00,-1.0,70.0,43626.00,0.59,0.02,-1.00,-1.00,-1.0,0.00095,-1.00,-1.00,0.10313,0.0055899999999999995,-1.0,18.0,1000.00,6250.00,0.23,800.00,0.29,4250.00,0.29,900.00,0.23,3750.00,0.27,-1.0,68.0
satisfactory,Viazma-1,т-1,TDTN-40000/110/35/10,3.00,-1.0,68.0,-1.0,43525.00,0.036,-1.00,0.0011,0.001,0.0059,-1.00,0.0021,0.13,0.011000000000000001,-1.0,40.0,3000.00,1500.00,0.65,1000.00,0.76,1000.00,0.71,1500.00,0.43,1000.00,0.75,-1.0,50.0
satisfactory,Viazma-1,т-2,TDTN-40000/110/35/10,3.00,-1.0,70.0,-1.0,0.8,0.03,-1.00,-1.00,0.0019,0.0042,-1.00,0.0014,0.15,0.0073,-1.0,40.0,1000.00,1250.00,0.79,1000.00,0.25,1250.00,0.8,1000.00,0.3,1250.00,0.81,-1.0,52.0
good,Tumanovo,т-2,TMTN-6300/110/35/10,3.00,-1.0,75.0,0.002,43647.00,0.019,-1.00,-1.00,-1.0,0.0012,-1.00,-1.00,0.12,0.015,-1.0,30.0,3000.00,6000.00,0.36,3000.00,0.2,5000.00,0.4,3000.00,0.2,5000.00,0.38,-1.0,50.0
satisfactory,Rudnaia,1Т,TDTN-31500,3.00,-1.0,40.0,-1.0,-1.00,0.016,-1.00,0.000159,0.000218,0.001641,0.000255,0.00,0.050343,0.0,-1.0,53.0,920.00,2500.00,0.36,720.00,0.2,3000.00,0.31,600.00,0.1,3000.00,0.33,-1.0,29.0
satisfactory,Rudnaia,2Т,TDTN-31500,3.00,-1.0,86.0,-1.0,-1.00,0.012,-1.00,0.000533,0.000275,0.001155,0.000166,0.00,0.12595699999999999,0.0,-1.0,20.0,-1.00,3000.00,0.4,410.00,0.4,4000.00,0.36,767071.00,-1.0,2400.00,0.31,-1.0,70.0
good,Troitckaia,2Т,TDTN-10000,3.00,-1.0,81.0,-1.0,-1.00,0.019,-1.00,0.000677,9.1e-05,0.000495,0.00,0.00,0.03999,0.0,-1.0,15.0,850.00,1000.00,0.28,650.00,0.3,900.00,0.3,600.00,0.3,1200.00,0.32,-1.0,55.0
unsatisfactory,Kastornoe,1Т,TDTN-15000,3.00,-1.0,77.0,-1.0,0.9,0.03,-1.00,0.001022,0.000217,0.001804,0.000099,0.00,0.079532,0.005365,-1.0,40.0,800.00,290.00,43466.00,600.00,0.5,200.00,43556.00,600.00,0.5,210.00,43556.00,-1.0,72.0
good,Kshen,1Т,TDTN-10000,3.00,-1.0,78.0,-1.0,0.9,0.05,-1.00,0.001163,0.000173,0.000804,0.000069,0.00,0.042492,0.006138,-1.0,29.0,800.00,800.00,0.4,1700.00,0.4,1600.00,0.5,1600.00,0.4,1600.00,0.5,-1.0,75.0
unsatisfactory,Gorshechnoe,1Т,TDTN-10000,3.00,-1.0,72.0,-1.0,0.8,0.05,-1.00,0.000989,0.000266,0.001946,0.000104,0.000003,0.29285900000000004,0.010929000000000001,-1.0,26.0,630.00,1200.00,0.7,1120.00,0.7,1200.00,0.8,1300.00,0.5,1000.00,0.8,-1.0,75.0
good,Medvenka,1Т,TDTN10000,3.00,-1.0,87.2,43498.00,0.9,0.034,-1.00,0.0011,0.00014,0.0048,0.00,0.00,0.106,0.017,-1.0,35.0,2600.00,1800.00,0.8,2200.00,0.71,1600.00,0.8,2400.00,0.8,1600.00,0.8,-1.0,-1.0
good,Razinkovo,2Т,TMTN6300,3.00,-1.0,70.0,43526.00,0.06,0.028,-1.00,0.0018,0.00016999999999999999,0.0016,0.00,0.00,0.033,0.004,-1.0,21.0,3000.00,2400.00,0.3,2400.00,0.3,2200.00,0.3,3000.00,0.3,2500.00,0.3,-1.0,-1.0
good,Besedino,1Т,TMTN6300,3.00,-1.0,78.8,43654.00,43586.00,0.017,-1.00,0.0011,0.00014,0.00074,0.00,0.00,0.057999999999999996,0.005,-1.0,18.0,1500.00,1800.00,0.3,1950.00,0.3,2000.00,0.3,1850.00,0.3,1600.00,0.3,-1.0,-1.0
unsatisfactory,110/35/10kVVOSTOCHNAIA-2,Т-2,TDTN-25000/110-68U1,3.00,-1.0,70.0,43630.00,43527.00,0.025,-1.00,-1.00,0.00035,0.015,-1.00,-1.00,0.3,0.03,-1.0,18.0,3000.00,788.00,0.6759999999999999,3000.00,0.25,756.00,0.55,3000.00,0.44,904.00,0.672,-1.0,47.0
good,110/10/6kVCENTRALNAIa,Т-2,TDTN-25000/110-U1,3.00,-1.0,70.0,-1.0,-1.00,0.005,-1.00,0.013,0.0019,0.0023,-1.00,-1.00,0.1,0.04,-1.0,12.0,3000.00,10000.00,0.1,3000.00,0.16,10000.00,0.1,3000.00,0.37,10000.00,0.13,-1.0,70.0
unserviceable,110/35/6kVSharia(r),Т-1,TDTN-20000/110,3.00,-1.0,70.0,24.0,7.94,0.108,-1.00,0.00,0.0,0.012,0.00,0.00,0.31,0.023,-1.0,30.0,310.00,500.00,0.48,450.00,0.8,500.00,0.48,350.00,0.7,600.00,0.43,-1.0,51.0
unsatisfactory,110/35/6kVSharia(r),Т-2,TDTN-25000/110-76U1,3.00,-1.0,56.0,43512.00,0.15,0.00,-1.00,0.00,0.001,0.014,0.0021,0.00,0.17,0.013999999999999999,-1.0,31.0,1400.00,8000.00,0.23,1350.00,0.23,5500.00,0.24,1700.00,0.37,6000.00,0.32,-1.0,36.3
satisfactory,110/35/10kVPyshchug,Т-1,TMTN-6300,3.00,-1.0,70.0,6.0,0.79,0.002,-1.00,0.00,0.0027,0.0037,0.00,0.00,0.07,0.003,-1.0,23.0,11000.00,10000.00,0.24,9500.00,0.22,10000.00,0.26,10000.00,0.3,10000.00,0.25,-1.0,70.0
satisfactory,110/35/10kVPyshchug,Т-2,TMTN-6300,3.00,-1.0,70.0,16.0,0.15,0.002,-1.00,0.00,0.001,0.00,0.00,0.00,0.006999999999999999,0.0044,-1.0,23.0,11000.00,10000.00,0.25,9500.00,0.22,10000.00,0.27,10000.00,0.3,10000.00,0.23,-1.0,70.0
