Equipment state (expert assessment),Substation name,Dispatcher name,Transformer,Winding arrangement & Switching devices,Oil year,Breakdown voltage. kV,Moisture content. g/t,Acid number. mgKOH/g,Oil tangent at 90С. %,Flash point in closed cup. С,Н2. % vol.,СН4. % vol.,С2Н4. % vol.,С2Н6. % vol.,С2Н2. % vol.,СО2. % vol.,СО. % vol.,Winding year,Winding temperature during  last tests. C,R60 insulation resistance of HV winding. measured during commissioning tests. Mohm,R60 insulation resistance of HV winding. measured during last tests. MOhm,Tangent of HV winding insulation. measured during last tests. %,R60 insulation resistance of MV (LV1) winding. measured during commissioning tests. MOhm,Tangent of MV (LV1) winding insulation. measured during commissioning tests. %,R60 insulation resistance of MV (LV1) winding. measured during last tests. MOhm,Tangent of MV (LV1) winding insulation. measured during last tests. %,R60 insulation resistance of LV (LV2) winding. measured during commissioning tests. MOhm,Tangent of MV (LV2) winding insulation. measured during commissioning tests. %,R60 insulation resistance of LV (LV2) winding. measured during last tests. MOhm,Tangent of MV (LV2) winding insulation. measured during last tests. %,On-load tap-changer year,Breakdown voltage of oil from the tank. kV
satisfactory,Beia-220,1Т,TDTN-25000,3.00,1992.0,74.4,6.0,0.2,0.007,140.00,0.00045,0.00058,0.00046,0.00012,-1.00,0.026000000000000002,0.04,1992.0,25.0,-1.00,61200.00,0.15,-1.00,-1.0,12000.00,0.16,-1.00,-1.0,10900.00,0.17,1992.0,0.0
satisfactory,Beia-220,2Т,TDTNGU-20000,3.00,1967.0,62.7,8.0,0.64,0.004,135.00,0.00026,0.0002,0.00098,0.0002,0.00004,0.044000000000000004,0.0048,1967.0,24.0,-1.00,3500.00,0.325,-1.00,-1.0,7610.00,0.4,-1.00,-1.0,4640.00,0.35,1967.0,0.0
satisfactory,Lukianovka-110,1Т,TDTN-10000,3.00,1984.0,75.0,43691.00,0.2,0.001,134.00,0.00015,0.00013000000000000002,-1.00,-1.00,-1.00,0.052000000000000005,0.0018,1984.0,28.0,-1.00,22890.00,0.17,-1.00,-1.0,17180.00,0.16,-1.00,-1.0,23730.00,0.17,1984.0,0.0
satisfactory,Lukianovka-110,2Т,TDTN-10000,3.00,1984.0,60.0,4.0,43497.00,0.006,138.00,0.0011,0.00022999999999999998,0.00012,0.00006,-1.00,0.028999999999999998,0.0034,1984.0,26.0,-1.00,19310.00,0.21,-1.00,-1.0,16180.00,0.19699999999999998,-1.00,-1.0,15180.00,0.238,1984.0,0.0
satisfactory,GPP-2,1Т,TDTN-40000,3.00,1971.0,55.7,15.0,0.2,0.004,143.00,0.0003,0.00011,0.0013,0.00027,-1.00,0.055999999999999994,0.0048,1971.0,48.0,-1.00,2100.00,0.205,-1.00,-1.0,3020.00,0.221,-1.00,-1.0,3000.00,0.232,1971.0,0.0
satisfactory,GPP-2,2Т,TDTN-40000,3.00,1971.0,64.0,11.0,43466.00,0.004,145.00,0.00017,0.00014,0.0011,-1.00,0.0006,0.08,0.0076,1971.0,24.0,-1.00,4210.00,0.223,-1.00,-1.0,2960.00,0.233,-1.00,-1.0,3140.00,0.264,1971.0,0.0
good,Permiak,1Т,TDTN-40000/110UKHL1,3.00,2007.0,45.0,43572.00,0.15,0.003,136.00,0.0001,0.0002,0.0007,0.0004,0.00,0.027000000000000003,0.0027,2007.0,7.0,14000.00,14000.00,0.26,3560.00,0.23,12000.00,0.39,5480.00,0.17,15000.00,0.39,2007.0,40.0
good,Permiak,2Т,TDTN-40000/110UKHL1,3.00,2007.0,60.0,43481.00,0.47,0.003,138.00,0.0006,0.0002,0.00,0.00,0.00,0.03,0.0031,2007.0,31.0,6000.00,6000.00,0.14,4200.00,0.19,-1.00,-1.0,4200.00,0.3,-1.00,-1.00,2007.0,61.0
good,Molodyozhnaia,1Т,TDTN-25000/110-66,3.00,1979.0,64.0,43718.00,0.43,0.006,141.00,0.0009,0.0003,0.0002,0.0001,0.00,0.09300000000000001,0.0085,1979.0,42.0,1600.00,2600.00,0.2,1100.00,0.25,2300.00,0.25,1000.00,0.4,1950.00,0.41,1979.0,42.0
good,Molodyozhnaia,2Т,TDTN-25000/110-66,3.00,1978.0,61.0,43524.00,43473.00,0.086,141.00,0.0009,0.0004,0.004,0.0006,0.00,0.336,0.04,1978.0,20.0,700.00,370.00,0.77,850.00,0.34,365.00,0.81,1000.00,0.4,534.00,0.84,1978.0,40.0
good,Samotlor,1Т,TDTN-25000/110/35/6,3.00,1970.0,50.0,43605.00,0.99,0.029,141.00,0.0005,0.0003,0.004,0.0002,0.00,0.306,0.025,1970.0,34.0,1700.00,1250.00,0.1,1300.00,0.2,1400.00,0.40399999999999997,1750.00,0.2,-1.00,-1.00,1970.0,50.0
good,Samotlor,2Т,TDTN-25000/110/35/6,3.00,1970.0,50.0,43607.00,0.2,0.009,146.00,0.0002,0.0002,.002,0.0002,0.00,0.3,0.013999999999999999,1970.0,25.0,1300.00,12000.00,0.45,1500.00,0.2,8200.00,0.38,900.00,0.3,7460.00,0.62,1970.0,57.0
good,Bolshechernogorskaia,1Т,TDTN-40000/110/35/6,3.00,2007.0,70.0,43725.00,0.12,0.002,139.00,0.0056,0.0002,0.0001,0.00,0.00,0.109,0.003,2007.0,-1.0,7700.00,-1.00,-1.0,5000.00,0.24,-1.00,-1.0,5600.00,0.34,-1.00,-1.00,2007.0,41.0
good,Bolshechernogorskaia,2Т,TDTN-40000/110/35/6,3.00,2007.0,67.0,43655.00,0.25,0.003,138.00,0.0002,0.0003,0.0001,0.0001,0.00,0.03,0.006,2007.0,-1.0,13000.00,-1.00,-1.0,10500.00,0.312,-1.00,-1.0,8000.00,0.359,-1.00,-1.00,2007.0,63.0
good,Malochernogorskaia,1Т,TDTN-10000/110/35/6,3.00,1981.0,59.0,43657.00,0.17,0.007,136.00,0.0002,0.0002,0.0006,0.0001,0.00,0.152,0.011000000000000001,1981.0,27.0,2500.00,25000.00,0.25,4500.00,0.07,47500.00,0.26,800.00,0.1,37500.00,0.28,1981.0,52.0
good,Malochernogorskaia,2Т,TDTN-10000/110/35/6,3.00,1981.0,61.0,43654.00,0.1,0.004,135.00,0.0003,0.0002,0.0003,0.0001,0.00,0.128,0.006,1981.0,35.0,4000.00,35000.00,0.14,5000.00,0.1,5500.00,0.14,4000.00,0.1,30000.00,0.23,1981.0,67.0
satisfactory,O-6Neman,Т-1,TDTN-25000/110-79U1,3.00,1983.0,70.0,43571.00,0.7,0.019,147.00,0.0002,0.00015,0.0051,0.00006,0.00,-1.0,-1.0,1983.0,-1.0,2000.00,4000.00,0.3,1700.00,0.2,4000.00,0.3,1500.00,0.3,5000.00,0.35,1983.0,0.0
satisfactory,O-6Neman,Т-2,TDTN-16000/110-66,3.00,1970.0,61.6,0.0,,,,0.00,0.0001193303,0.01132509,0.000131223,0.00,-1.0,-1.0,1970.0,-1.0,100.00,700.00,0.3,1800.00,0.2,500.00,0.31,1800.00,0.2,650.00,0.35,1970.0,0.0
satisfactory,Zheleznovodskaia,Т-1,TDTN-16000,3.00,1976.0,63.3,-1.0,43590.00,0.06,144.00,0.00431,0.00011999999999999999,0.00531,0.00011,0.00022,0.22946999999999998,0.04904,1976.0,25.0,5000.00,940.00,0.16,4800.00,0.16,800.00,0.18,4000.00,0.24,750.00,0.32,1976.0,-1.0
satisfactory,Rostovanovskaia,Т-1,TDTN-10000,3.00,1972.0,48.0,-1.0,43709.00,0.039,144.00,0.00009,0.00,0.004,0.00003,0.00001,0.25771,-1.0,1972.0,35.0,1200.00,260.00,0.6,2000.00,0.2,530.00,0.7,1100.00,0.2,240.00,0.7,1972.0,60.0
satisfactory,Divnoe,Т-1,TDTN-16000,3.00,1986.0,68.8,-1.0,2.51,0.011,142.00,0.00037,5.9999999999999995e-05,0.00191,0.00012,0.00324,0.27815,0.01756,1986.0,32.0,5000.00,6500.00,0.32,5000.00,0.31,6000.00,0.35,5500.00,0.29,5800.00,0.3,1986.0,70.0
satisfactory,Zavetnaia,Т-1,TMTN-6300,3.00,1979.0,63.6,-1.0,0.7,0.01,137.00,0.00197,0.00,0.00269,0.00012,-1.00,0.24615,0.02005,1979.0,20.0,-1.00,3400.00,0.125,-1.00,-1.0,2800.00,0.18,-1.00,-1.0,3300.00,0.165,1979.0,45.0
satisfactory,Ust-Dzheguta,Т-1,TDTNG-20000/110/35/6,3.00,1953.0,55.0,-1.0,0.12,0.014,141.00,0.0064,0.001,0.0003,0.0003,0.00,0.09699999999999999,0.011000000000000001,1953.0,-1.0,900.00,3000.00,0.54,-1.00,-1.0,-1.00,-1.0,900.00,0.4,3000.00,0.52,1953.0,-1.0
